Filename	XIC_WideFrac	XIC_FWHM_Q1	XIC_FWHM_Q2	XIC_FWHM_Q3	XIC_Height_Q2	XIC_Height_Q3	XIC_Height_Q4	RT_Duration	RT_TIC_Q1	RT_TIC_Q2	RT_TIC_Q3	RT_TIC_Q4	RT_MS_Q1	RT_MS_Q2	RT_MS_Q3	RT_MS_Q4	RT_MSMS_Q1	RT_MSMS_Q2	RT_MSMS_Q3	RT_MSMS_Q4	MS1_TIC_Change_Q2	MS1_TIC_Change_Q3	MS1_TIC_Change_Q4	MS1_TIC_Q2	MS1_TIC_Q3	MS1_TIC_Q4	MS1_Count	MS1_Freq_Max	MS1_Density_Q1	MS1_Density_Q2	MS1_Density_Q3	MS2_Count	MS2_Freq_Max	MS2_Density_Q1	MS2_Density_Q2	MS2_Density_Q3	MS2_PrecZ_1	MS2_PrecZ_2	MS2_PrecZ_3	MS2_PrecZ_4	MS2_PrecZ_5	MS2_PrecZ_more	MS2_PrecZ_likely_1	MS2_PrecZ_likely_multi
QC_Shew_11_06_Run-01_20Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3541.48	0.462063	0.264649	0.156592	0.116695	0.25001	0.250008	0.250003	0.249979	0	0	0	0	0.779765	0.639828	2.87371	0.317206	0.519805	1.29108	4388	1.23903	147	190	295.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-01_22Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3541.2	0.326408	0.175249	0.204951	0.293392	0.250401	0.249783	0.249783	0.250033	0	0	0	0	1.14639	0.697189	2.51574	0.324121	0.177556	0.321012	4408	1.24564	2142.75	2697.5	3018	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-01_25Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.01	0.308141	0.154627	0.208815	0.328417	0.250496	0.249796	0.249796	0.249913	0	0	0	0	1.27426	0.805838	2.78926	0.455688	0.528909	0.47222	4408	1.24564	2372	2769.5	3023	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-01_25May12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.55	0.24037	0.102814	0.205249	0.451567	0.252408	0.24314	0.24636	0.258092	0	0	0	0	1.67529	1.18684	2.53817	1.14731	0.578595	1.50879	4119	1.20893	3070.5	3353	3511.5	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-01_27Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.13	0.365638	0.185681	0.187044	0.261637	0.250408	0.249787	0.249787	0.250018	0	0	0	0	1.13687	0.74658	3.0828	0.53301	0.127047	0.338805	4408	1.24564	2467	2874	3111	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-01_29Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.21	0.469774	0.15912	0.164813	0.206292	0.249982	0.249998	0.250019	0.250002	0	0	0	0	1.32894	0.786215	2.66902	1.2203	0.243667	0.678762	4388	1.23922	851.5	1962.5	2279	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-02_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.48	0.412577	0.160047	0.174556	0.25282	0.250829	0.249707	0.249706	0.249758	0	0	0	0	1.56592	0.790706	1.90512	1.30014	0.199938	0.570059	4407	1.24564	1915.5	2521	2907	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-02_1Jun12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541	0.277718	0.116157	0.179578	0.426547	0.253632	0.243242	0.244074	0.259052	0	0	0	0	1.89856	0.853041	2.18251	1.51993	0.477028	0.752298	4240	1.23481	3227	3577.5	3773	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-02_22Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3541.24	0.310014	0.174114	0.205174	0.310698	0.250331	0.24978	0.24978	0.250109	0	0	0	0	1.11831	0.699993	2.03431	0.392344	0.186231	0.35785	4408	1.24564	2157	2697.5	3008.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-02_25May12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.64	0.22861	0.104613	0.177855	0.488923	0.251474	0.242652	0.246571	0.259304	0	0	0	0	1.43678	1.07777	2.39316	1.04626	0.620981	1.41681	4141	1.21303	3178	3433	3600	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_10Apr12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3540.83	0.418329	0.159169	0.17232	0.250182	0.250827	0.249694	0.249694	0.249784	0	0	0	0	1.57324	0.798744	3.63454	1.39721	0.211676	0.577455	4406	1.24564	1879	2498.5	2898	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_1Jun12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.19	0.298969	0.135363	0.176531	0.389137	0.254432	0.243465	0.244123	0.25798	0	0	0	0	1.9064	0.849934	1.94055	1.61224	0.393334	0.78675	4244	1.23371	3202.25	3601	3798	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_20Mar12_Roc_12-02-42	0	0	0	0	NULL	NULL	NULL	3540.87	0.0145907	0.0134512	0.466254	0.505704	0.25	0.249996	0.249998	0.250006	0	0	0	0	0.778186	0.707475	4.08375	0.894901	0.536086	3.40668	4387	1.23896	62	139	215	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_21Mar12_Roc_12-02-42	0	0	0	0	NULL	NULL	NULL	3540.77	0.344061	0.18162	0.198399	0.27592	0.250359	0.249813	0.249813	0.250015	0	0	0	0	1.1251	0.738568	4.3789	0.376976	0.146515	0.290261	4408	1.24564	2525	2918	3161.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_25May12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.21	0.22963	0.116926	0.197251	0.456193	0.252216	0.243849	0.246656	0.25728	0	0	0	0	1.70202	1.17611	2.47559	0.987558	0.581074	1.58801	4141	1.20857	3224	3461	3635	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-03_28Mar12_Roc_12-03-17	0	0	0	0	NULL	NULL	NULL	3541.15	0.289573	0.168451	0.223317	0.318659	0.250293	0.249786	0.249786	0.250135	0	0	0	0	1.03187	0.714528	2.01116	0.209311	0.18869	0.53117	4408	1.24564	2154	2644	2961	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3540.99	0.396745	0.171633	0.171179	0.260442	0.25079	0.249684	0.249684	0.249843	0	0	0	0	1.42813	0.824208	4.34746	1.50924	0.188459	0.669268	4406	1.24564	1916.25	2534	2906	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_1Jun12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.51	0.303095	0.123967	0.176255	0.396683	0.25481	0.243118	0.243991	0.258081	0	0	0	0	1.92728	0.879637	1.68272	1.51971	0.452951	0.78009	4242	1.23493	3199	3625	3821	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_22Mar12_Roc_12-02-43	0	0	0	0	NULL	NULL	NULL	3541	0.308416	0.176167	0.208136	0.307281	0.250318	0.249796	0.249796	0.250089	0	0	0	0	1.08657	0.669504	1.62472	0.280139	0.175996	0.364967	4408	1.24564	2147	2736	3024	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_25Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3541.17	0.199955	0.290699	0.263566	0.24578	0.25	0.250002	0.25	0.249998	0	0	0	0	0.729199	0.53846	6.6784	0.129843	0.121072	5.26851	4387	1.23886	30	34	38	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_27Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3541.17	0.349685	0.184773	0.189082	0.276461	0.250325	0.249784	0.249784	0.250106	0	0	0	0	1.132	0.71618	1.97903	0.509166	0.125826	0.307015	4408	1.24564	2513.75	2909	3140	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-04_29Mar12_Roc_12-03-18	0	0	0	0	NULL	NULL	NULL	3541.39	0.330803	0.180456	0.200178	0.288563	0.250324	0.249826	0.249826	0.250024	0	0	0	0	1.08148	0.696401	4.36252	0.345329	0.126966	0.234568	4409	1.24564	2629	3044	3298	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-05_20Mar12_Roc_12-02-40	0	0	0	0	NULL	NULL	NULL	3540.95	0.216596	0.202913	0.271322	0.309169	0.249996	0.249998	0.250003	0.250003	0	0	0	0	0.787534	0.544963	4.01927	0.169202	0.221988	2.43842	4387	1.23893	68	80	96	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-05_27Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.14	3.56E-01	1.85E-01	0.192257	0.266897	0.250363	0.249787	0.249787	0.250063	0	0	0	0	1.06707	0.748198	3.11726	0.491915	0.142419	0.424443	4408	1.24564	2467	2869	3109.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-06_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.19	0.400718	0.155073	0.180692	0.263518	0.250746	0.249726	0.249726	0.249802	0	0	0	0	1.47859	0.835126	4.5912	1.19324	0.210776	0.438917	4407	1.24564	1891	2499	2903.5	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-06_20Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3540.82	0.31556	0.252621	0.143631	0.288188	0.250006	0.250004	0.249984	0.250006	0	0	0	0	0.816479	0.646084	1.78129	0.655128	0.370804	0.981396	4387	1.23898	63	122	165	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-06_21Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3541.34	0.32485	0.180457	0.199728	0.294965	0.250265	0.249829	0.249829	0.250077	0	0	0	0	1.07828	0.724499	4.29949	0.342489	0.145973	0.26633	4409	1.24564	2584	2967	3211	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-06_27Mar12_Roc_12-03-16	0	0	0	0	NULL	NULL	NULL	3541.11	0.354883	0.176389	0.195659	0.273069	0.250308	0.249789	0.249789	0.250114	0	0	0	0	1.07163	0.684231	2.45731	0.509801	0.131705	0.375387	4408	1.24564	2588	2977	3194.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-06_28Mar12_Roc_12-03-16	0	0	0	0	NULL	NULL	NULL	3541.37	0.305038	0.162093	0.215595	0.317274	0.250347	0.24977	0.24977	0.250113	0	0	0	0	1.19181	0.75051	2.29099	0.342445	0.210001	0.54672	4408	1.24564	2246	2693.5	2984	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-07_20Mar12_Roc_12-02-42	0	0	0	0	NULL	NULL	NULL	3540.99	0.308936	0.268125	0.139761	0.283178	0.249999	0.249999	0.249999	0.250004	0	0	0	0	0.789008	0.590364	2.86992	0.265798	0.484234	1.34613	4387	1.23892	57	75	116	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-07_22Mar12_Roc_12-02-42	0	0	0	0	NULL	NULL	NULL	3541.32	0.322998	0.172297	0.204717	0.299988	0.250396	0.249774	0.249774	0.250057	0	0	0	0	1.19243	0.742752	2.33532	0.294208	0.185176	0.322185	4408	1.24564	2121	2688	3019	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
