Filename	Quality
QC_Shew_11_06_Run-01_20Mar12_Roc_12-02-40	poor
QC_Shew_11_06_Run-01_22Mar12_Roc_12-02-40	good
QC_Shew_11_06_Run-01_25Mar12_Roc_12-03-15	ok
QC_Shew_11_06_Run-01_25May12_Jaguar_12-02-26	good
QC_Shew_11_06_Run-01_27Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-01_29Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-02_10Apr12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-02_1Jun12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-02_22Mar12_Roc_12-02-41	good
QC_Shew_11_06_Run-02_25May12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-03_10Apr12_Jaguar_12-02-26	ok
QC_Shew_11_06_Run-03_1Jun12_Jaguar_12-02-26	good
QC_Shew_11_06_Run-03_20Mar12_Roc_12-02-42	poor
QC_Shew_11_06_Run-03_21Mar12_Roc_12-02-42	good
QC_Shew_11_06_Run-03_25May12_Jaguar_12-02-26	good
QC_Shew_11_06_Run-03_28Mar12_Roc_12-03-17	ok
QC_Shew_11_06_Run-04_10Apr12_Jaguar_12-02-27	ok
QC_Shew_11_06_Run-04_1Jun12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-04_22Mar12_Roc_12-02-43	good
QC_Shew_11_06_Run-04_25Mar12_Roc_12-03-18	poor
QC_Shew_11_06_Run-04_27Mar12_Roc_12-03-18	good
QC_Shew_11_06_Run-04_29Mar12_Roc_12-03-18	good
QC_Shew_11_06_Run-05_20Mar12_Roc_12-02-40	poor
QC_Shew_11_06_Run-05_27Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-06_10Apr12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-06_20Mar12_Roc_12-02-41	poor
QC_Shew_11_06_Run-06_21Mar12_Roc_12-02-41	good
QC_Shew_11_06_Run-06_27Mar12_Roc_12-03-16	good
QC_Shew_11_06_Run-06_28Mar12_Roc_12-03-16	good
QC_Shew_11_06_Run-07_20Mar12_Roc_12-02-42	poor
QC_Shew_11_06_Run-07_22Mar12_Roc_12-02-42	good
QC_Shew_11_06_Run-07_28Mar12_Roc_12-03-17	good
QC_Shew_11_06_Run-08_10Apr12_Jaguar_12-02-27	poor
QC_Shew_11_06_Run-08_20Mar12_Roc_12-02-43	poor
QC_Shew_11_06_Run-09_10Apr12_Jaguar_12-02-26	good
QC_Shew_11_06_Run-09_25Mar12_Roc_12-03-15	ok
QC_Shew_11_06_Run-09_27Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-09_28Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-1_12Apr12_Jaguar_12-02-26	good
QC_Shew_11_06_Run-10_22Mar12_Roc_12-02-41	good
QC_Shew_11_06_Run-10_25Mar12_Roc_12-03-16	poor
QC_Shew_11_06_Run-10_28Mar12_Roc_12-03-16	good
QC_Shew_11_06_Run-11_10Apr12_Jaguar_12-02-26	ok
QC_Shew_11_06_Run-11_21Mar12_Roc_12-02-42	good
QC_Shew_11_06_Run-11_28Mar12_Roc_12-03-17	poor
QC_Shew_11_06_Run-12_10Apr12_Jaguar_12-02-27	good
QC_Shew_11_06_Run-12_21Mar12_Roc_12-02-43	good
QC_Shew_11_06_Run-12_22Mar12_Roc_12-02-43	good
QC_Shew_11_06_Run-12_27Mar12_Roc_12-03-18	poor
QC_Shew_11_06_Run-12_28Mar12_Roc_12-03-18	poor
QC_Shew_11_06_Run-13_10Apr12_Jaguar_12-02-26	ok
QC_Shew_11_06_Run-13_20Mar12_Roc_12-02-40	poor
QC_Shew_11_06_Run-13_21Mar12_Roc_12-02-40	good
QC_Shew_11_06_Run-13_22Mar12_Roc_12-02-40	good
QC_Shew_11_06_Run-13_25Mar12_Roc_12-03-15	ok
QC_Shew_11_06_Run-13_28Mar12_Roc_12-03-15	poor
QC_Shew_11_06_Run-14_10Apr12_Jaguar_12-02-27	ok
QC_Shew_11_06_Run-14_20Mar12_Roc_12-02-41	poor
QC_Shew_11_06_Run-14_21Mar12_Roc_12-02-41	good
QC_Shew_11_06_Run-14_22Mar12_Roc_12-02-41	good
QC_Shew_11_06_Run-14_28Mar12_Roc_12-03-16	poor
QC_Shew_11_06_Run-16_21Mar12_Roc_12-02-43	good
QC_Shew_11_06_Run-16_27Mar12_Roc_12-03-18	ok
QC_Shew_11_06_Run-17_27Mar12_Roc_12-03-15	good
QC_Shew_11_06_Run-17_28Mar12_Roc_12-03-15	ok
QC_Shew_11_06_Run-18_28Mar12_Roc_12-03-16	poor
QC_Shew_11_06_Run-19_21Mar12_Roc_12-02-42	poor
QC_Shew_11_06_Run-3_12Apr12_Jaguar_12-02-26	good
