Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_050nl-min_Run-1_20Dec12_Lion_12-11-11	0.018947	0.037895	75.1492	6.3075	57.5	31	110.09	98.65	26.25	2.487	1.114	1253	12504	1.634	1.267	7	7	690.9789	0	0.292517	0	0.368	19.25	21568	162.295	1.34E+06	-0.069056	0.263401	-42.334	-42.255	7.414	99.165	775	0.0233	0.056	0.0776	0.1405	7.24	-7.241	939	282	267	0.011236
QC_Shew_12_02_050nl-min_Run-2_20Dec12_Lion_12-12-17	0.025875	0.079148	16.3971	19.8816	39.35	34.43	85.48	29.88	28.19	1.706	1	321	3210	1.493	1.191	1	1	720.3675	0.012939	0.201479	0	2.914	30.76	471500	293.759	1.45E+06	-0.106446	0.260943	-72.382	-72.346	5.239	101.25	809	0.0023	0.0103	0.0553	0.0999	6.99	-6.988	650	133	124	0
QC_Shew_12_02_050nl-min_Run-3_20Dec12_Lion_12-11-11	0.037356	0.025862	9.2558	18.9071	77.6	41.48	121.17	85.44	28.9	2.353	1.417	173	1725	1.752	1.368	1	2	646.9924	0.003984	0.38247	0	3.397	6.005	8245.4	277.87	8.89E+05	-0.079541	0.263286	-53.248	-52.086	13.434	146.1	734	0.0071	0.019	0.0657	0.0972	7	-6.998	344	105	98	0.030612
QC_Shew_12_02_050nl-min_Run-4_20Dec12_Lion_12-12-17	0.000548	0.002193	34.0522	26.4006	45.7	43.04	56.6	75.77	45.38	3.722	3.151	655	6526	1.712	1.265	3	3	725.3739	0.00431	0.306034	0	0.136	65.03	128665	33.994	1062650	-0.081967	0.259886	-51.539	-51.537	10.661	141.15	762	0.0365	0.0953	0.1139	0.162	7.34	-7.345	1764	1273	1188	0.021886
QC_Shew_12_02_100nl-min_Run-1_19Dec12_Lion_12-11-11	0.005548	0.037448	73.45	9.7073	53.56	31.62	138.41	107.11	31.32	2.356	1.553	1264	12218	1.721	1.246	6	7	724.9265	0.008197	0.3051	0	0.1675	55.055	32851.5	364.645	1623500	-0.055411	0.266117	-34.154	-34.029	6.282	119.7	764	0.0257	0.0635	0.1063	0.1734	7.29	-7.287	1403	626	573	0.013962
QC_Shew_12_02_100nl-min_Run-1_20Dec12_Lion_12-11-11	0.003695	0.012931	37.4585	21.4371	86.15	59.84	135.83	97.81	87.24	2.161	1.713	726	7258	1.606	1.227	21	20	735.9173	0.003934	0.2738	0	0.07	26.115	279015	43.718	1765050	-0.060745	0.25444	-32.699	-32.501	5.447	117.65	772	0.0291	0.0766	0.0944	0.1621	7.28	-7.285	1589	760	710	0.014085
QC_Shew_12_02_100nl-min_Run-2_19Dec12_Lion_12-12-17	0	0.08046	7.2845	29.5147	101.21	125.92	120.31	7.39	95.26	1.97	1.65	143	1436	1.915	1.448	43	37	802.9357	0	0.421569	0	10	30.03	540230	157.654	1947000	-0.060081	0.261824	-35.629	-34.139	5.572	91.66	807	0.0035	0.0226	0.0727	0.2025	7.06	-7.056	422	168	156	0.012821
QC_Shew_12_02_100nl-min_Run-2_20Dec12_Lion_12-12-17	0.005613	0.039289	77.4294	6.8062	62.47	31.02	97.44	113.98	28.95	1.631	2.135	1296	12963	1.645	1.235	6	5	725.8986	0.007614	0.348985	0	0.359	15.83	13971	182.293	1177600	-0.066523	0.262838	-39.013	-38.413	9.153	120.6	766	0.0225	0.0678	0.1105	0.1417	7.28	-7.276	1037	442	411	0.026764
QC_Shew_12_02_100nl-min_Run-3_20Dec12_Lion_12-11-11	0.003661	0.018304	40.0569	20.2462	72.43	50.65	132.7	94.79	52.93	1.814	2.352	766	7666	1.597	1.27	0	0	718.3806	0.004612	0.255188	0	0.061	36.67	214090	61.699	1786700	-0.083006	0.253669	-53.646	-53.317	5.358	122.5	773	0.0237	0.0797	0.1068	0.1595	7.33	-7.335	1606	708	659	0.013657
QC_Shew_12_02_100nl-min_Run-4_20Dec12_Lion_12-12-17	0.005213	0.044309	77.0274	7.374	64.72	31.79	106.45	107.79	27.05	1.794	2.019	1293	12934	1.63	1.241	3	5	720.3317	0.008178	0.336449	0	0.268	21.915	16987.5	141.183	1.27E+06	-0.091326	0.270209	-51.808	-51.806	8.061	125.2	759	0.0223	0.0635	0.1167	0.154	7.28	-7.285	1125	476	438	0.018265
QC_Shew_12_02_200nl-min_Run-1_19Dec12_Lion_12-11-11	0.000931	0.002327	33.6461	31.5341	69.4	77.37	83.12	59.24	85.42	2.763	2.514	659	6586	1.674	1.276	2	2	762.0353	0.006627	0.287952	0	0.075	37.96	303070	29.064	1628000	-0.051443	0.26548	-25.68	-25.625	6.28	127.4	760	0.0457	0.107	0.1258	0.2011	7.39	-7.388	2089	1312	1213	0.019786
QC_Shew_12_02_200nl-min_Run-1_20Dec12_Lion_12-11-11	0.001815	0.001815	36.8083	29.6401	68.41	80.14	40.18	61.64	81.64	2.922	2.702	743	7184	1.672	1.237	6	8	774.408	0.005542	0.351601	0	0.083	45.57	312250	27.069	1.47E+06	-0.065042	0.258459	-36.185	-36.064	7.321	124.1	760	0.0583	0.119	0.1176	0.1971	7.38	-7.38	2151	1467	1357	0.01916
