Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_11_06_5pt_1_20Jan12_Jaguar_11-09-17	0.001678	0	13.8689	21.559	18.41	20.31	14.94	11.43	19.71	5.086	4.667	402	2371	1.866	1.187	19	18	720.8139	0.059829	0.198718	0.014957	500	534.9	305220	205.027	3278050	-0.001771	0.007194	-1.294	-1.293	25.022	127	711	0	0.0017	0.0818	0.1692	6.7	-6.698	566	476	424	0.056604
QC_Shew_11_06_5pt_1_5Jan12_Jaguar_11-09-17	0.004377	0.014882	35.1365	48.8096	23.25	23.84	18.04	21.03	24.03	4.587	4.963	975	5805	1.593	1.147	3	3	881.4608	0.036008	0.563786	0.147119	6.992	396.4	598425	105.681	3.29E+06	0.008804	0.012474	4.286	4.286	18.651	104.5	879	0.1382	0.2053	0.2688	0.3422	8.4	-8.401	3351	2582	2289	0.030144
QC_Shew_11_06_5pt_2_5Jan12_Jaguar_11-09-18	0.004507	0.012676	34.5804	51.3586	20.96	21.56	16.91	20.64	21.65	4.856	4.269	962	5708	1.6	1.138	8	9	871.7817	0.025602	0.588353	0.146084	7.483	408.65	562190	93.509	3.39E+06	0.008488	0.011992	4.053	4.054	18.913	110.1	870	0.1397	0.2103	0.2776	0.3599	8.49	-8.49	3464	2723	2401	0.03207
QC_Shew_11_06_5pt_3_20Jan12_Jaguar_11-09-17	0.004518	0.001506	13.9558	23.861	18.88	20.63	14.54	10.83	20.38	5.486	4.118	415	2446	1.93	1.204	13	11	720.1103	0.058708	0.217221	0.023483	500	485.7	384020	178.634	4.40E+06	-0.002664	0.00754	-1.568	-1.564	17.495	127.65	704	0	0.003	0.0871	0.1908	6.71	-6.711	632	519	461	0.049892
QC_Shew_11_06_5pt_4_20Jan12_Jaguar_11-09-18	0.001425	0	14.3282	24.5669	17.63	19.34	13.02	10.81	19.97	5.167	3.9	433	2556	1.753	1.134	17	19	703.3677	0.039106	0.243948	0.024209	500	504.4	607355	455.042	5710950	-0.002884	0.00822	-1.946	-1.929	12.109	130.35	702	0	0.0079	0.1003	0.1992	6.74	-6.735	672	560	492	0.04878
QC_Shew_11_06_5pt_a_21Jan12_Jaguar_11-09-17	0.005629	0.014473	36.3789	51.321	20.45	20.63	16.32	21.2	19.09	4.6	4.548	993	5934	1.694	1.183	5	6	851.8594	0.020408	0.646429	0.207143	7.887	422.45	580460	157.771	3.21E+06	-0.000476	0.009567	-0.21	-0.207	19.302	113.65	847	0.1769	0.2286	0.2842	0.3427	8.75	-8.751	3637	2825	2448	0.034314
QC_Shew_11_06_5pt_a_4Jan12_Jaguar_11-09-17	0.003929	0.00816	34.9637	47.3348	22.69	23.51	16.81	18.76	23.19	4.832	3.606	999	5923	1.681	1.157	6	7	855.6669	0.019672	0.601093	0.163934	3.879	400	1156750	107.026	7.04E+06	0.004099	0.010485	2.007	2.012	9.032	104.5	841	0.1023	0.1837	0.2532	0.3354	8.17	-8.174	3227	2567	2273	0.031676
QC_Shew_11_06_5pt_a_5Jan12_Jaguar_11-09-17	0.004639	0.008615	32.6223	46.2567	22.17	23.33	16.96	14.82	23.75	4.919	5.086	909	5405	1.627	1.143	3	3	863.9303	0.025	0.512778	0.123333	7.0205	381.1	554160	67.478	3.35E+06	0.007774	0.011241	3.862	3.862	18.264	104.4	852	0.0871	0.188	0.2553	0.3087	7.95	-7.947	2947	2407	2162	0.027752
QC_Shew_11_06_5pt_b_21Jan12_Jaguar_11-09-18	0.001272	0.001272	14.8581	26.5175	18.19	19.46	15.55	13.72	19.34	6.814	2.188	443	2605	1.807	1.157	16	15	703.8508	0.032949	0.228995	0.032949	500	544.6	573120	248.842	4.74E+06	-0.002006	0.008346	-1.339	-1.311	16.258	132	701	0	0.0131	0.1261	0.2147	6.86	-6.856	756	630	568	0.042254
QC_Shew_11_06_5pt_b_22Jan12_Jaguar_11-09-18	0.005689	0.017585	35.8407	53.9889	18.92	18.77	15.8	20.88	17.86	4.434	5.595	964	5749	1.753	1.199	0	0	857.9387	0.020741	0.662222	0.198519	11.1525	456.25	366990	100.398	2.79E+06	1.84E-03	0.009237	0.883	0.886	25.157	119.05	841	0.1712	0.2458	0.3056	0.3697	8.89	-8.887	3760	2994	2609	0.034879
