Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15	0.023885	0.030194	30.2626	36.712	16.63	16.25	14.34	34.99	16.19	5.092	4	331	6617	1.266	1.054	0	0	918.6561	0.051845	0.762742	0.121265	0.297	531.5	1753800	536.921	1.85E+07	0.003894	0.008221	1.942	1.942	2.578	248.85	815	0.0535	0.0987	0.1631	0.2266	6.38	-6.381	2127	1823	1599	0.051282
QC_Shew_11_02_0pt5-06_22Oct11_Jaguar_11-10-10	0.00448	0.009209	31.0726	64.655	16.33	16.52	9.64	20.04	16.09	4.1	4.357	852	8518	1.61	1.127	0	1	876.6043	0.045224	0.832825	0.152439	5.26	346	115640	502.472	355634	-0.00632	0.020543	-2.9	-2.898	20.558	129.7	853	0.0663	0.1337	0.2003	0.2914	6.83	-6.83	3850	2868	2525	0.055446
QC_Shew_11_02_FA_Run-6_5Dec11_Cougar_11-07-42	0.006697	0.024697	32.8663	109.0783	23.05	23.87	19.16	19.46	22.84	2.841	2.701	1056	10555	1.523	1.135	0	0	885.2616	0.071151	0.79572	0.117565	1.232	553.9	1168550	1399.563	2490600	-0.000476	0.011339	-0.246	-0.245	4.309	49.65	735	0.2413	0.2398	0.2115	0.3059	8.8	-8.795	6911	3747	3022	0.057578
QC_Shew_11_03_0pt5-04_7Oct11_Jaguar_11-06-30	0.003855	0.006057	31.8929	28.4703	19.01	20.73	13.46	17.08	20.38	7.265	4.857	967	9670	2.253	1.25	0	0	775.9652	0.001623	0.396916	0.065747	0.52	281.8	871480	590.041	2387300	-3.07E-02	0.03935	-17.218	-17.217	1.371	153.2	796	0.0257	0.0441	0.0574	0.135	6.15	-6.15	1674	1417	1334	0.094453
QC_Shew_11_03_0pt5-08_19Sep11_Jaguar_11-06-30	0.002235	0.004789	29.0822	53.8818	17.88	17.98	12.14	21.27	17.77	4.651	4.627	858	8582	1.549	1.131	0	0	1022.572	0.178755	0.256434	0.026673	1.436	399.4	426860	88.823	1337450	-0.003964	0.011444	-2.002	-1.996	10.402	108.6	744	0.0438	0.1106	0.1391	0.2015	6.37	-6.37	2976	2434	2170	0.060369
QC_Shew_11_03_e_1Sep11_Jaguar_11-07-16	NULL	NULL	0	NULL	9.19	5.84	5.71	10.85	5.65	0	0	0	0	0	0	4	4	0	0	0	0	39.9825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66	-5.661	0	0	0	0
QC_Shew_11_03_H_12Oct11__11-06-30	0.001207	0.011663	35.1061	70.8424	17.29	17.91	10.81	15.85	17.79	3.873	3.819	1060	10600	1.759	1.164	12	16	957.0099	0.112086	0.425926	0.072775	0.561	337.4	877885	295.509	2.58E+06	-0.019343	0.027889	-9.267	-9.264	3.271	112.4	785	0.0759	0.144	0.2076	0.283	6.98	-6.98	4652	3430	2906	0.086717
QC_Shew_11_03_pt5_3_12Oct11__11-06-28	0.001505	0.004704	34.2762	77.5465	15.58	16.55	11.21	15.67	16.01	3.691	3.907	1047	10471	1.643	1.133	1	2	933.009	0.154449	0.379487	0.064555	0.479	387.4	1281900	144.565	4.32E+06	-0.003636	0.016004	-1.785	-1.783	2.464	131.5	743	0.0639	0.1571	0.2182	0.3088	7.13	-7.131	4924	3934	3310	0.096375
QC_Shew_11_03_pt5_e6_b_14Oct11__11-06-26	0.002016	0.008314	33.0061	60.1404	16.57	16.94	13.15	19.63	16.77	4.934	4.819	937	9376	1.678	1.15	0	0	861.4356	0.04646	0.367625	0.049041	2.153	393.55	231505	414.252	638878	-0.012253	0.020979	-6.392	-6.39	13.513	145.45	835	0.0777	0.1318	0.1759	0.2545	6.84	-6.841	3533	2776	2460	0.152439
QC_Shew_11_03_pt5_f_11Jul11_Jaguar_11-05-05	0	0.000991	28.6349	52.8376	16.94	16.7	10.57	23.07	16.72	4.234	3.491	874	8745	1.501	1.101	0	0	992.5092	0.293391	0.290704	0.039226	0.484	252.7	697685	68.613	2.70E+06	-0.001931	0.019503	-1.016	-1.007	4.338	163.9	916	0.009	0.082	0.1341	0.2022	6.21	-6.213	2808	2368	1996	0.092685
